4943,Marti,53,1024050
16372,Danika,49,816576
105977,Genovera,37,1339064
128974,Lelah,34,649329
162983,Linet,69,942482
171260,Tina,33,1298102
176992,Valera,23,698533
195895,Merrie,39,609716
242835,Darci,64,453571
250419,Basia,43,281126
262944,Willetta,33,618123
273203,Collen,43,1160733
281526,Max,65,637381
306837,Shandie,67,889057
327169,Elora,33,950220
335602,Rozele,21,422316
337147,Cathyleen,38,330883
358359,Anica,20,958796
368704,Nariko,67,743281
390024,Shauna,18,1178424
444719,Adore,66,1319531
453437,Daryl,60,1113480
458047,Averyl,46,387292
508848,Magdalena,22,948639
515817,Corly,24,584935
519144,Marita,52,1184582
524090,Imojean,28,206969
539798,Orsola,54,550505
555631,Elora,21,790294
596612,Ekaterina,44,911714
646525,Winifred,59,641694
681872,Petronia,33,219174
706692,Coral,47,94017
724596,Jenda,62,1284542
739196,Ofilia,36,1386771
745063,Chastity,25,626610
769103,Annaliese,71,1395276
794418,Nickie,60,1292499
795571,Hope,48,525052
825463,Shauna,49,1168555
828155,Meg,38,1063286
884841,Lelah,39,473793
888501,Gilda,25,1110890
891245,Addia,18,1109866
922802,Shell,21,712015
970958,Sam,62,1289496
980367,Hildegaard,43,1066172
