3774,Asia,39,298937
13841,Roberta,40,155248
50582,Sarette,36,1238134
60580,Farrah,48,290578
66286,Lita,40,936270
74543,Grier,71,1044815
94484,Correy,70,366013
102021,Noelle,45,252018
122319,Barbara,33,334797
144915,Ada,65,330432
163882,Evita,28,180722
219838,Orelia,29,976325
277544,Celene,72,559865
316159,Dagmar,53,246393
328586,Bobbi,63,838480
361803,Thalia,21,344433
382697,Kassey,26,229497
383694,Dotty,38,1072921
385592,Farrah,34,934766
392749,Bobbi,38,49975
463650,Ileana,50,1244017
508658,Goldie,24,940090
516743,Libbie,35,713835
533986,Sindee,32,410235
548887,Celestyna,45,279005
570330,Ottilie,38,772925
572575,Melina,25,1112744
572693,Trudie,37,1386021
573108,Nessie,52,952230
575301,Lindie,38,1204855
578956,Priscilla,72,1253585
603781,Juliane,30,157225
604545,Adore,29,1254890
607110,Shauna,35,416828
623523,Fredericka,61,1102646
667136,Joleen,23,228099
719209,Gerrie,31,1395270
722517,Pollyanna,61,388288
727617,Britni,61,1336643
752087,Inga,65,403327
789241,Linzy,66,1165037
803490,Mathilda,59,133521
830507,Maisey,30,1008021
836806,Ethel,33,1173148
873078,Tilly,22,486066
877038,Stevana,34,88641
922765,Sharai,23,933901
925195,Viviene,50,398156
939919,Jsandye,54,302465
991681,Stevana,63,360751
