60259,Margarette,25,203480
61678,Melina,60,1325753
66166,Bibby,20,792292
70750,Bobbi,22,984059
79384,Dennie,63,913409
83880,Flo,62,1377053
86248,Ethel,65,1014561
88985,Nannie,55,255622
99473,Charlena,28,751200
135522,Suzette,19,253152
138682,Ida,35,962930
179687,Rochette,62,959880
195381,Olwen,34,1001074
199701,Jan,35,1042339
207415,Hope,45,828625
247875,Lindie,56,655555
274963,Tiffie,42,442165
280067,Ingrid,21,534406
292090,Cassondra,48,445291
326408,Queenie,29,1020477
341311,Clementine,56,1282917
354277,Maridel,43,733517
393955,Codie,43,410275
428819,Dorthy,33,740896
482356,Shandie,64,275733
490901,Paulita,47,999303
502349,Gwenneth,50,100369
525258,Willetta,41,145740
529753,Laure,61,946827
534271,Tierney,34,852873
556241,Briney,28,1300920
559616,Dianemarie,64,1000606
577266,Donnie,33,621938
581710,Evita,53,635319
582681,Maye,25,445775
630506,Aurore,30,433894
632676,Mignon,59,909453
646585,Brana,25,1156242
659813,Kara-Lynn,28,492536
711610,Ivett,55,396968
747666,Hayley,55,529307
770795,Caritta,61,1229995
862554,Dorothy,50,875126
873080,Di,69,962104
885620,Andeee,49,584442
908965,Melisent,59,85485
922078,Nariko,33,190103
960851,Odessa,43,436610
973573,Dorothy,29,554445
989843,Shirlee,44,176524
